id;start_date;team_a;team_b;winner;match_url
1;2020-11-23T01:10:53;39211;69012;30872;Tasty
2;2020-11-23T05:58:14;52968;51485;32990;solid state Paradigm Generic
3;2020-11-23T15:23:42;78581;96966;35612;time-frame Fantastic action-items
4;2020-11-23T15:23:32;78588;30565;52372;Customer-focused
5;2020-11-23T09:50:54;42576;31711;67578;Arizona
6;2020-11-23T16:22:08;15224;5813;79825;Chad
7;2020-11-23T00:42:13;5096;64939;96938;bleeding-edge incentivize Movies
8;2020-11-23T08:16:28;88039;55405;67838;index
9;2020-11-23T04:09:42;90528;94442;71445;copying matrices
10;2020-11-23T11:21:05;5574;86905;36651;Practical Concrete Bike microchip deposit
