id;team_name;captain_name;team_logo;team_logo_content_type
1;Sausages Berkshire;bottom-line;../fake-data/blob/hipster.png;image/png
2;Assistant;revolutionary e-commerce interface;../fake-data/blob/hipster.png;image/png
3;CFA Franc BEAC;generating;../fake-data/blob/hipster.png;image/png
4;bypass Fantastic;Oklahoma Bahraini Dinar Auto Loan Account;../fake-data/blob/hipster.png;image/png
5;e-tailers Small Soft Chair;purple;../fake-data/blob/hipster.png;image/png
6;Road;strategic magenta;../fake-data/blob/hipster.png;image/png
7;Bedfordshire USB Reverse-engineered;JSON invoice navigating;../fake-data/blob/hipster.png;image/png
8;bluetooth;Texas Viaduct North Dakota;../fake-data/blob/hipster.png;image/png
9;Architect;Pizza back-end virtual;../fake-data/blob/hipster.png;image/png
10;Gloves Brunei Darussalam Ergonomic;interface Ghana matrix;../fake-data/blob/hipster.png;image/png
